track_id,team,frames_seen,time_on_screen_s,total_distance_m,avg_speed_kmh,max_speed_kmh
346,Man City,83,3.32,40.21,35.13,40.0
201,Man City,173,6.92,36.06,16.45,40.0
274,Other,187,7.48,35.35,14.38,40.0
40,Man Utd,36,1.44,34.86,38.38,40.0
303,Man Utd,129,5.16,34.6,16.78,40.0
119,Man Utd,99,3.96,34.42,30.75,40.0
275,Man City,187,7.48,31.43,12.48,40.0
181,Man City,137,5.48,29.73,16.23,40.0
122,Man Utd,93,3.72,26.83,25.41,40.0
34,Other,34,1.36,26.31,33.92,40.0
305,Other,145,5.8,26.2,13.97,40.0
439,Man City,95,3.8,25.81,20.28,40.0
349,Other,81,3.24,25.06,27.73,40.0
306,Man Utd,124,4.96,24.5,15.06,40.0
215,Man Utd,128,5.12,23.03,15.79,40.0
292,Man City,123,4.92,22.93,14.11,40.0
36,Other,68,2.72,22.9,30.76,38.91
22,Man City,77,3.08,22.12,20.51,40.0
104,Other,63,2.52,20.31,10.87,40.0
28,Man Utd,75,3.0,20.14,24.18,40.0
202,Man Utd,74,2.96,19.55,22.43,40.0
120,Man Utd,90,3.6,19.52,18.51,40.0
299,Man Utd,114,4.56,19.15,14.39,40.0
433,Man City,81,3.24,18.76,15.09,40.0
289,Other,61,2.44,17.9,25.53,40.0
70,Other,64,2.56,17.88,25.01,40.0
413,Man Utd,89,3.56,17.26,16.55,40.0
135,Man Utd,87,3.48,17.23,13.67,40.0
143,Other,85,3.4,16.72,17.37,40.0
288,Man Utd,103,4.12,15.81,13.95,25.37
38,Other,22,0.88,15.78,36.69,40.0
344,Man City,101,4.04,15.12,13.29,40.0
308,Man City,107,4.28,14.9,11.7,40.0
453,Other,63,2.52,14.84,12.26,40.0
13,Man Utd,78,3.12,14.78,12.81,40.0
32,Man City,73,2.92,14.04,16.39,40.0
37,Other,24,0.96,13.3,23.1,40.0
283,Man Utd,137,5.48,13.16,8.31,40.0
58,Other,8,0.32,12.85,40.0,40.0
25,Man City,76,3.04,10.79,12.73,40.0
33,Other,47,1.88,9.33,18.25,33.13
284,Man City,116,4.64,5.63,3.8,40.0
389,Man Utd,86,3.44,5.42,5.74,36.91
57,Other,8,0.32,1.89,24.28,33.13
